City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date,Rainfall(1h),Snowfall(1h)
0,Fortuna,40.6,-124.16,70.0,72,1,14.99,clear sky,US,2020-07-09 21:13:14,0.0,0.0
1,Grindavik,63.84,-22.43,51.8,71,75,11.41,broken clouds,IS,2020-07-09 21:11:38,0.0,0.0
2,Komsomolskiy,40.43,71.72,77.0,33,100,6.93,overcast clouds,UZ,2020-07-09 21:13:15,0.0,0.0
3,Mataura,-46.19,168.86,42.06,92,100,5.06,light rain,NZ,2020-07-09 21:13:06,0.13,0.0
4,San Ignacio,17.16,-89.07,93.2,56,40,6.93,scattered clouds,BZ,2020-07-09 21:13:15,0.0,0.0
5,Rikitea,-23.12,-134.97,68.16,65,10,19.01,clear sky,PF,2020-07-09 21:09:15,0.0,0.0
6,Matagami,49.75,-77.63,86.0,42,1,8.05,clear sky,CA,2020-07-09 21:11:28,0.0,0.0
7,Kodiak,57.79,-152.41,66.2,48,40,12.75,scattered clouds,US,2020-07-09 21:09:25,0.0,0.0
8,Thompson,55.74,-97.86,66.2,77,75,12.75,broken clouds,CA,2020-07-09 21:13:15,0.0,0.0
9,X-Can,55.74,-97.86,66.2,77,75,12.75,broken clouds,CA,2020-07-09 21:13:15,0.0,0.0
10,Bluff,-46.6,168.33,49.8,81,99,16.02,overcast clouds,NZ,2020-07-09 21:13:16,0.0,0.0
11,Butaritari,3.07,172.79,83.89,75,3,13.31,clear sky,KI,2020-07-09 21:13:16,0.0,0.0
12,Guadalupe Y Calvo,26.1,-106.97,65.39,83,80,4.7,moderate rain,MX,2020-07-09 21:13:16,1.55,0.0
13,Illoqqortoormiut,26.1,-106.97,65.39,83,80,4.7,moderate rain,MX,2020-07-09 21:13:16,0.0,0.0
14,Saint-Philippe,-21.36,55.77,71.6,82,20,21.92,few clouds,RE,2020-07-09 21:13:16,0.0,0.0
15,Busselton,-33.65,115.33,37.99,86,0,6.62,clear sky,AU,2020-07-09 21:13:16,0.0,0.0
16,Doha,25.29,51.53,93.2,84,21,1.12,few clouds,QA,2020-07-09 21:08:31,0.0,0.0
17,Bredasdorp,-34.53,20.04,55.4,71,100,16.11,light rain,ZA,2020-07-09 21:13:16,0.99,0.0
18,Amos,48.57,-78.12,89.6,35,75,10.29,broken clouds,CA,2020-07-09 21:13:17,0.0,0.0
19,Tsihombe,48.57,-78.12,89.6,35,75,10.29,broken clouds,CA,2020-07-09 21:13:17,0.0,0.0
20,Albany,42.6,-73.97,95.0,39,0,4.68,clear sky,US,2020-07-09 21:13:17,0.0,0.0
21,Grand Gaube,-20.01,57.66,72.0,64,41,10.0,scattered clouds,MU,2020-07-09 21:13:17,0.0,0.0
22,Nikolskoye,59.7,30.79,57.0,76,20,6.71,few clouds,RU,2020-07-09 21:13:17,0.0,0.0
23,Vaini,-21.2,-175.2,73.4,94,75,5.82,broken clouds,TO,2020-07-09 21:13:17,0.0,0.0
24,Tasiilaq,65.61,-37.64,50.0,67,100,14.99,overcast clouds,GL,2020-07-09 21:13:17,0.0,0.0
25,Hithadhoo,-0.6,73.08,84.51,71,74,5.82,broken clouds,MV,2020-07-09 21:13:17,0.0,0.0
26,Ushuaia,-54.8,-68.3,37.4,64,75,12.75,shower rain,AR,2020-07-09 21:13:16,0.0,0.0
27,Hermanus,-34.42,19.23,53.01,81,100,5.99,moderate rain,ZA,2020-07-09 21:13:18,2.99,0.0
28,Sobolevo,54.43,31.9,49.98,92,0,4.81,clear sky,RU,2020-07-09 21:13:18,0.0,0.0
29,Avarua,-21.21,-159.78,78.8,69,73,14.99,broken clouds,CK,2020-07-09 21:13:18,0.0,0.0
30,Buzmeyin,38.05,58.21,87.8,19,0,4.7,clear sky,TM,2020-07-09 21:13:18,0.0,0.0
31,Hobart,-42.88,147.33,37.4,93,40,8.05,scattered clouds,AU,2020-07-09 21:13:00,0.0,0.0
