City_ID,City,Country,Description,Max Temp,Lat,Lng,Hotel Name
60,Kavieng,PG,light rain,82.2,-2.57,150.8,Nusa Island Retreat
62,Buala,SB,light rain,81.16,-8.14,159.59,Maringe Lagoon Lodge
86,Dayong,CN,light rain,84.2,25.02,118.29,Haiyue Express Hotel
111,Caninde,BR,light rain,76.39,-4.36,-39.31,Hotel Casa Grande II
113,Mana,GF,light rain,80.94,5.66,-53.78,LE SAMANA
136,Fukue,JP,light rain,76.03,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
164,Tura,IN,moderate rain,75.16,25.52,90.22,Hotel RIKMAN Continental
228,Siocon,PH,light rain,78.35,7.71,122.14,MSWDO
241,Marsh Harbour,BS,light rain,86.49,26.54,-77.06,Abaco Beach Resort
245,Kisangani,CD,light rain,73.56,0.52,25.2,Grand Ramela Hotel
284,Guhagar,IN,light rain,78.93,17.48,73.19,Hotel Seawinds
297,Thakurganj,IN,light rain,79.29,26.45,88.13,Kadam Ali Tola JALMILIK 11
306,Kendari,ID,light rain,73.02,-3.94,122.5,Hotel Wixel
307,Weligama,LK,light rain,79.34,5.97,80.42,Weligama Bay Resort
332,Loubomo,CG,light rain,70.3,-4.2,12.67,La Dolisienne
336,Gotsu,JP,moderate rain,72.88,35.0,132.22,Super Hotel Gotsu Ekimae
339,Batesville,US,light rain,75.2,35.77,-91.64,Holiday Inn Express & Suites Batesville
341,Dzilam Gonzalez,MX,light rain,89.01,21.28,-88.93,Amina
402,Narasannapeta,IN,light rain,81.16,18.42,84.05,G.lingaraju home
408,Namatanai,PG,light rain,80.51,-3.67,152.43,Namatanai Hotel
442,Babu,CN,light rain,78.12,24.42,111.52,IU Hotel Hezhou Bus Terminal
443,La Sarre,CA,light rain,83.07,48.8,-79.2,Motel Villa Mon Repos
448,Camopi,GF,moderate rain,78.93,3.17,-52.32,
462,Grand-Santi,GF,moderate rain,78.85,4.25,-54.38,Hotel La Villa Couacou
473,Kirakira,SB,light rain,80.35,-10.45,161.92,SanBiz Lodge
474,Pinawa,CA,light rain,71.76,50.15,-95.88,Pinawa Motel
477,Serabu,SL,light rain,73.31,7.8,-12.05,
519,Lincoln,US,light rain,86.0,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
520,Leiyang,CN,light rain,78.3,26.4,112.86,Dongyang Hotel
524,Uyo,NG,light rain,74.41,5.03,7.93,Economy Lodge
535,Tindivanam,IN,heavy intensity rain,79.75,12.25,79.65,Impala Briyani Restaurant & Wedinng Contract
567,Bassila,BJ,light rain,71.62,9.01,1.67,COMPLEXE MAKOYA ET FILS
590,Portobelo,PA,light rain,89.01,9.55,-79.65,La Finca
