City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chapais,CA,2020-07-07 21:51:27,49.78,-74.85,68.0,94,90,10.29
1,Ancud,CL,2020-07-07 21:51:28,-41.87,-73.82,44.01,100,20,10.29
2,Mataura,NZ,2020-07-07 21:51:10,-46.19,168.86,39.0,83,95,3.0
3,Saint Anthony,US,2020-07-07 21:51:28,45.02,-93.22,88.0,51,20,3.29
4,Hobart,AU,2020-07-07 21:50:34,-42.88,147.33,34.0,86,75,8.05
5,New Norfolk,AU,2020-07-07 21:51:28,-42.78,147.06,33.01,92,57,2.28
6,Tabuk,PH,2020-07-07 21:51:28,17.42,121.44,74.97,89,100,3.62
7,Cayenne,GF,2020-07-07 21:51:29,4.93,-52.33,84.2,74,0,4.7
8,Albany,US,2020-07-07 21:51:29,42.6,-73.97,84.0,55,5,8.5
9,Dikson,RU,2020-07-07 21:51:29,73.51,80.55,48.43,70,0,18.41
10,Alindao,CF,2020-07-07 21:51:29,5.03,21.21,70.03,93,83,0.72
11,Sompeta,IN,2020-07-07 21:51:29,18.93,84.6,82.62,84,100,8.86
12,Punta Arenas,CL,2020-07-07 21:51:29,-53.15,-70.92,33.8,80,75,16.11
13,Wilkie,CA,2020-07-07 21:50:25,52.42,-108.7,81.0,64,65,5.01
14,Andros Town,BS,2020-07-07 21:51:30,24.7,-77.77,86.0,79,75,9.17
15,Georgetown,MY,2020-07-07 21:51:00,5.41,100.34,77.0,100,40,2.24
16,Nambucca Heads,AU,2020-07-07 21:51:30,-30.65,153.0,53.6,87,90,11.41
17,Bredasdorp,ZA,2020-07-07 21:51:30,-34.53,20.04,41.0,93,0,3.36
18,Berlevag,NO,2020-07-07 21:51:30,70.86,29.09,51.8,81,75,2.24
19,Coahuayana,MX,2020-07-07 21:51:30,18.73,-103.68,86.0,62,75,7.36
20,Noumea,NC,2020-07-07 21:51:31,-22.28,166.46,70.0,77,20,3.36
21,Atuona,PF,2020-07-07 21:51:31,-9.8,-139.03,79.63,76,10,14.05
22,Puerto Ayora,EC,2020-07-07 21:51:31,-0.74,-90.35,71.01,89,93,3.0
23,Mokhsogollokh,RU,2020-07-07 21:51:31,61.47,128.92,61.02,64,15,3.15
24,Turkmenabat,TM,2020-07-07 21:51:31,39.07,63.58,78.8,27,22,13.87
25,Coihueco,CL,2020-07-07 21:51:31,-36.62,-71.83,50.0,81,90,12.75
26,Yellowknife,CA,2020-07-07 21:51:31,62.46,-114.35,60.01,76,90,11.41
27,Birjand,IR,2020-07-07 21:51:32,32.87,59.22,68.0,20,33,6.93
28,Busselton,AU,2020-07-07 21:51:32,-33.65,115.33,44.01,98,46,8.81
29,Provideniya,RU,2020-07-07 21:51:32,64.38,-173.3,44.6,100,90,8.95
30,Nhulunbuy,AU,2020-07-07 21:51:32,-12.23,136.77,75.2,73,90,10.29
31,Cabo San Lucas,MX,2020-07-07 21:51:32,22.89,-109.91,100.4,27,5,10.29
32,West Sacramento,US,2020-07-07 21:46:59,38.58,-121.53,88.0,25,1,4.7
33,Hermanus,ZA,2020-07-07 21:49:33,-34.42,19.23,44.01,91,0,10.47
34,Lima,PE,2020-07-07 21:47:25,-12.04,-77.03,64.4,72,75,12.75
35,Coquimbo,CL,2020-07-07 21:51:33,-29.95,-71.34,57.2,67,20,9.17
36,Konstantinovka,RU,2020-07-07 21:51:33,49.62,127.98,58.75,83,0,8.43
37,The Valley,AI,2020-07-07 21:51:33,18.22,-63.06,78.01,88,75,19.46
38,Port Elizabeth,ZA,2020-07-07 21:51:31,-33.92,25.57,53.6,76,2,4.7
39,Sakakah,SA,2020-07-07 21:51:33,29.97,40.21,89.6,21,0,18.34
40,Laguna,US,2020-07-07 21:51:34,38.42,-121.42,90.0,25,1,4.7
41,Bluff,NZ,2020-07-07 21:51:06,-46.6,168.33,39.0,83,93,3.0
42,Aljezur,PT,2020-07-07 21:51:34,37.32,-8.8,82.99,47,62,9.78
43,Vaini,TO,2020-07-07 21:51:03,-21.2,-175.2,73.4,94,90,18.34
44,Vardo,NO,2020-07-07 21:51:34,70.37,31.11,50.0,87,75,3.36
45,Maniitsoq,GL,2020-07-07 21:51:34,65.42,-52.9,39.76,94,99,9.08
46,Marawi,PH,2020-07-07 21:51:34,8.0,124.29,75.0,88,100,5.99
47,Barcelos,PT,2020-07-07 21:51:34,41.54,-8.62,72.0,88,0,1.12
48,Areosa,PT,2020-07-07 21:51:35,41.72,-8.86,70.0,88,0,1.12
49,Thompson,CA,2020-07-07 21:51:35,55.74,-97.86,78.8,34,40,13.87
50,Itarema,BR,2020-07-07 21:51:35,-2.92,-39.92,77.85,73,2,10.71
51,Mudgee,AU,2020-07-07 21:46:57,-32.59,149.59,44.01,100,90,6.51
52,Porto Novo,BJ,2020-07-07 21:51:35,6.5,2.6,78.8,88,40,10.29
53,Kaitangata,NZ,2020-07-07 21:47:06,-46.28,169.85,39.99,81,86,7.0
54,Khani,GE,2020-07-07 21:51:35,41.96,42.96,77.0,88,87,8.05
55,Kapaa,US,2020-07-07 21:50:59,22.08,-159.32,82.4,74,40,17.22
56,Krasnoselkup,RU,2020-07-07 21:51:36,65.7,82.47,58.75,90,73,8.28
57,Ribeira Grande,PT,2020-07-07 21:51:36,38.52,-28.7,70.09,83,14,3.0
58,Kyabe,TD,2020-07-07 21:51:36,9.45,18.94,73.78,91,71,3.29
59,Rikitea,PF,2020-07-07 21:51:36,-23.12,-134.97,69.66,81,92,13.76
60,Esperance,AU,2020-07-07 21:51:36,-33.87,121.9,50.0,87,75,13.87
61,Namatanai,PG,2020-07-07 21:51:36,-3.67,152.43,81.48,78,10,7.72
62,Cape Town,ZA,2020-07-07 21:51:36,-33.93,18.42,53.01,81,0,8.05
63,Tapes,BR,2020-07-07 21:51:37,-30.67,-51.4,56.12,94,100,17.9
64,Hirara,JP,2020-07-07 21:51:37,24.8,125.28,84.2,83,75,12.75
65,Carnarvon,AU,2020-07-07 21:51:37,-24.87,113.63,57.2,76,0,11.41
66,Yenagoa,NG,2020-07-07 21:51:37,4.92,6.26,73.65,96,100,6.22
67,Hilo,US,2020-07-07 21:51:09,19.73,-155.09,82.4,65,20,6.93
68,Coihaique,CL,2020-07-07 21:50:57,-45.58,-72.07,28.4,92,90,4.7
69,Antofagasta,CL,2020-07-07 21:50:01,-23.65,-70.4,60.8,67,20,16.11
70,Beringovskiy,RU,2020-07-07 21:51:38,63.05,179.32,51.94,72,46,1.9
71,Sernur,RU,2020-07-07 21:51:38,56.93,49.15,68.76,94,0,8.77
72,Fort Morgan,US,2020-07-07 21:51:38,40.25,-103.8,80.6,32,40,5.82
73,Lagoa,PT,2020-07-07 21:51:38,39.05,-27.98,69.62,88,0,5.99
74,Saskylakh,RU,2020-07-07 21:51:07,71.92,114.08,50.22,69,50,7.92
75,Khatanga,RU,2020-07-07 21:51:38,71.97,102.5,49.66,72,76,16.8
76,Fez,MA,2020-07-07 21:51:38,34.04,-5.0,87.8,15,19,10.29
77,Hede,CN,2020-07-07 21:51:39,33.77,120.25,72.66,93,72,7.4
